"plotcode","mean_biomass","SGM","sowndiv","mean_org_02","mean_inorg_02","mean_C_02","mean_org_20","mean_inorg_20","mean_bulk","mean_C_20","block","TNleaching_av","leach_costs","meanSR","mean_org_diff","SOC_costs","costs_total"
"B1A13",550.765,196.172495,4,17.0533333333333,7.38333333333333,24.4366666666667,16.183862175,6.7914611655,1.28994098933333,22.9753233405,"B1",6.20217718069808,-69.6504497392395,3.2,-0.869471158333333,-120.069300177711,6.45274508304982
"B1A14",295.209736842105,21.6282502631579,8,14.6433333333333,7.0875,21.7308333333333,16.193342365,7.52957954616667,1.35710904183333,23.7229219111667,"B1",1.69920901140826,-19.0821171981148,6.55932203389831,1.55000903166667,225.193540302352,227.739673367395
"B1A15",66.9902631578947,-134.245650263158,1,19.0416666666667,9.16666666666667,28.2083333333333,16.5895053983333,8.42823789183333,1.33685717866667,25.0177432901667,"B1",3.85396881860506,-43.2800698329348,0.95,-2.45216126833333,-350.946565662431,-528.472285758523
"B1A16",197.579210526316,-45.0533992105263,2,17.9778333333333,8.6055,26.5833333333333,16.1240503933333,8.49758774233333,1.31744414566667,24.6216381356667,"B1",1.13653118914797,-12.7632452541317,1.98305084745763,-1.85378294,-261.455660586942,-319.2723050516
"B1A17",229.296842105263,-23.3902568421053,2,18.9933333333333,8.66,27.6533333333333,16.225695985,9.332896423,1.2739333915,25.558592408,"B1",2.89222042887825,-32.4796354163028,2,-2.76763734833333,-377.452981005514,-433.322873263922
"B1A18",59.9255263157895,-139.070865526316,1,19.5966666666667,8.06,27.6566666666667,17.8405377383333,8.17696980683333,1.25483111416667,26.0175075451667,"B1",2.17377525482963,-24.4114961117368,1,-1.75612892833334,-235.911239001496,-399.393600639549
"B1A19",290.947105263158,18.7168728947368,4,19.63,8.27666666666667,27.9066666666667,17.2902659483333,8.75153778033333,1.30159284083333,26.0418037286667,"B1",2.18598906831709,-24.5486572372009,3.5593220338983,-2.33973405166666,-326.023272708064,-331.855057050528
"B1A20",733.811052631579,321.192948947368,16,19.28,7.84,27.12,19.7650202366667,7.91503972383333,1.24334273083333,27.6800599605,"B1",3.35682738161965,-37.6971714955886,12.1525423728814,0.485020236666664,64.559130806828,348.054908258608
"B1A21",148.171842105263,-78.7986318421053,4,18.5633333333333,8.8,27.3633333333333,17.6394596983333,8.806338973,1.410547525,26.4457986713333,"B1",0.999068289250249,-11.2195368882803,3.69491525423729,-0.923873635,-139.510614832844,-229.528783563229
"B1A22",884.305605263158,423.980728394737,60,20.6991666666667,9.77666666666667,30.4758333333333,21.81097294,9.1696950695,1.2817225465,30.9806680095,"B1",1.37010384835754,-15.3862662170552,33.2280701754386,1.11180627333333,152.556283456481,561.150745634162
"B2A01",543.845526315789,191.446494473684,4,17.5375,7.34166666666667,24.8791666666667,19.5940903966667,7.509411629,1.29568413233333,27.1035020256667,"B2",1.87831184917383,-21.0934420662221,3.6,2.05659039666666,285.268553207604,455.621605615066
"B2A02",248.34,-10.38378,2,17.83,8.37666666666667,26.2066666666667,16.1554977966667,9.63476195133333,1.42223853566667,25.790259748,"B2",0.740897594391867,-8.32027998502066,1.98305084745763,-1.67450220333333,-254.955931881307,-273.659991866327
"B2A03",929.277447368421,454.696496552632,60,18.68,7.90333333333333,26.5833333333333,18.00963822,8.657248975,1.37960687016667,26.666887195,"B2",1.3898760301778,-15.6083078188967,33.4745762711864,-0.67036178,-99.0082877032569,340.079901030478
"B2A04",164.368421052632,-67.7363684210526,1,17.36,8.56666666666667,25.9266666666667,14.5059828,9.41138641433333,1.44740122683333,23.9173692143333,"B2",5.03432563844431,-56.5354769197296,1,-2.8540172,-442.234355584945,-566.506200925727
