year;month;plot;treatment;depth.min;depth.max;root.bm;coarse_root.bm;fine_root.bm
2021;6;B2A14;D3;0.1;0.2;60.838;0;60.838
2021;6;B2A14;D3;0.2;0.3;61.531;0;61.531
2021;6;B2A14;D3;0.3;0.4;21.238;0;21.238
2021;6;B2A15;D3;0.05;0.1;71.336;0;71.336
2021;6;B2A15;D3;0.1;0.2;120.984;0;120.984
2021;6;B2A15;D3;0.2;0.3;19.021;0;19.021
2021;6;B2A15;D3;0.3;0.4;36.482;0;36.482
2021;6;B2A16;D3;0.05;0.1;121.33;8.197;113.133
2021;6;B2A16;D3;0.1;0.2;138.515;0;138.515
2021;6;B2A16;D3;0.2;0.3;190.345;105.313;85.032
2021;6;B2A16;D3;0.3;0.4;56.265;0;56.265
2021;6;B2A17;D3;0.05;0.1;150.467;0;150.467
2021;6;B2A17;D3;0.1;0.2;122.612;0;122.612
2021;6;B2A17;D3;0.2;0.3;56.889;0;56.889
2021;6;B2A17;D3;0.3;0.4;46.876;0;46.876
2021;6;B2A18;D3;0.05;0.1;121.053;0;121.053
2021;6;B2A18;D3;0.1;0.2;112.565;0;112.565
2021;6;B2A18;D3;0.2;0.3;61.601;0;61.601
2021;6;B2A18;D3;0.3;0.4;39.081;0;39.081
2021;6;B2A19;D3;0.05;0.1;54.082;0;54.082
2021;6;B2A19;D3;0.1;0.2;112.669;0;112.669
2021;6;B2A19;D3;0.2;0.3;61.254;0;61.254
2021;6;B2A19;D3;0.3;0.4;54.429;0;54.429
2021;6;B2A20;D3;0.05;0.1;101.686;0;101.686
2021;6;B2A20;D3;0.1;0.2;64.684;0;64.684
2021;6;B2A20;D3;0.2;0.3;36.586;0;36.586
2021;6;B2A20;D3;0.3;0.4;48.643;0;48.643
2021;6;B2A21;D3;0.05;0.1;157.258;26.951;130.307
2021;6;B2A21;D3;0.1;0.2;100.508;0;100.508
2021;6;B2A21;D3;0.2;0.3;122.266;0;122.266
2021;6;B2A21;D3;0.3;0.4;37.175;0;37.175
2021;6;B2A22;D3;0.05;0.1;242.245;0;242.245
2021;6;B2A22;D3;0.1;0.2;119.425;0;119.425
2021;6;B2A22;D3;0.2;0.3;88.728;0;88.728
2021;6;B2A22;D3;0.3;0.4;43.238;0;43.238
2021;6;B3A01;D3;0.05;0.1;96.35;0;96.35
2021;6;B3A01;D3;0.1;0.2;91.812;6.129;85.683
2021;6;B3A01;D3;0.2;0.3;26.47;0;26.47
2021;6;B3A01;D3;0.3;0.4;17.6;0;17.6
2021;6;B3A02;D3;0.05;0.1;13.824;0;13.824
2021;6;B3A02;D3;0.1;0.2;53.459;0;53.459
2021;6;B3A02;D3;0.2;0.3;25.361;0;25.361
2021;6;B3A02;D3;0.3;0.4;2.252;0;2.252
2021;6;B3A03;D3;0.05;0.1;101.097;0;101.097
2021;6;B3A03;D3;0.1;0.2;89.456;0;89.456
2021;6;B3A03;D3;0.2;0.3;25.395;0;25.395
2021;6;B3A03;D3;0.3;0.4;21.481;0;21.481
2021;6;B3A04;D3;0.05;0.1;303.707;0;303.707
2021;6;B3A04;D3;0.1;0.2;240.166;47.257;192.909
2021;6;B3A04;D3;0.2;0.3;120.533;0;120.533
2021;6;B3A04;D3;0.3;0.4;52.766;0;52.766
2021;6;B3A05;D3;0.05;0.1;228.213;0;228.213
2021;6;B3A05;D3;0.1;0.2;119.944;0;119.944
2021;6;B3A05;D3;0.2;0.3;45.49;0;45.49
2021;6;B3A05;D3;0.3;0.4;54.429;0;54.429
2021;6;B3A06;D3;0.05;0.1;74.42;0;74.42
2021;6;B3A06;D3;0.1;0.2;91.881;0;91.881
2021;6;B3A06;D3;0.2;0.3;100.092;0;100.092
2021;6;B3A06;D3;0.3;0.4;55.503;0;55.503
2021;6;B3A07;D3;0.05;0.1;26.989;0;26.989
2021;6;B3A07;D3;0.1;0.2;39.011;0;39.011
2021;6;B3A07;D3;0.2;0.3;20.995;0;20.995
2021;6;B3A07;D3;0.3;0.4;224.748;39.216;185.533
2021;6;B3A08;D3;0.05;0.1;74.593;0;74.593
2021;6;B3A08;D3;0.1;0.2;29.588;0;29.588
